,nome_jogador,nota_geral,nota_potencial,valor_eur,salario_eur,idade,altura_cm,peso_kg,pe_fraco,habilidade,rescisao_eur,ritmo,chute,passe,drible,defesa,fisico,mentalidade_visao,mentalidade_compostura,mentalidade_posicionamento,poder_salto,poder_stamina,poder_forca,posicao
1,R. Lewandowski,92,92,119500000.0,270000.0,32,185,81,4,4,197200000.0,78.0,92.0,79.0,86.0,44.0,82.0,81,88,95,85,76,86,Atacante
2,Cristiano Ronaldo,91,91,45000000.0,270000.0,36,187,83,4,5,83300000.0,87.0,94.0,80.0,88.0,34.0,75.0,76,95,95,95,77,77,Atacante
4,K. De Bruyne,91,91,125500000.0,350000.0,30,181,70,5,4,232200000.0,76.0,86.0,93.0,88.0,64.0,78.0,94,89,88,63,89,74,Meio campo
5,J. Oblak,91,93,112000000.0,130000.0,28,188,87,3,1,238000000.0,,,,,,,65,68,11,78,41,78,Goleiro
6,K. Mbappé,91,95,194000000.0,230000.0,22,182,73,4,5,373500000.0,97.0,88.0,80.0,92.0,36.0,77.0,82,88,92,78,88,77,Atacante
7,M. Neuer,90,90,13500000.0,86000.0,35,193,93,4,1,22300000.0,,,,,,,70,70,12,77,43,80,Goleiro
8,M. ter Stegen,90,92,99000000.0,250000.0,29,187,85,4,1,210400000.0,,,,,,,70,70,11,79,35,78,Goleiro
9,H. Kane,90,90,129500000.0,240000.0,27,188,89,5,3,246100000.0,70.0,91.0,83.0,83.0,47.0,83.0,87,91,94,79,83,85,Atacante
12,T. Courtois,89,91,85500000.0,250000.0,29,199,96,3,1,181700000.0,,,,,,,44,66,13,68,38,70,Goleiro
15,V. van Dijk,89,89,86000000.0,230000.0,29,193,92,3,2,159100000.0,78.0,60.0,71.0,72.0,91.0,84.0,65,90,47,90,69,92,Zagueiro
18,Ederson,89,91,94000000.0,200000.0,27,188,86,3,1,181000000.0,,,,,,,70,70,20,66,41,78,Goleiro
20,Alisson,89,90,82000000.0,190000.0,28,191,91,3,1,157900000.0,,,,,,,66,65,13,52,32,78,Goleiro
21,G. Donnarumma,89,93,119500000.0,110000.0,22,196,90,3,1,230000000.0,,,,,,,60,68,14,72,34,72,Goleiro
22,Sergio Ramos,88,88,24000000.0,115000.0,35,184,82,3,3,44400000.0,70.0,70.0,76.0,74.0,88.0,84.0,71,88,73,93,78,84,Zagueiro
23,L. Suárez,88,88,44500000.0,135000.0,34,182,83,4,3,91200000.0,72.0,90.0,82.0,84.0,47.0,83.0,84,87,91,69,78,85,Atacante
24,T. Kroos,88,88,75000000.0,310000.0,31,183,76,5,3,153800000.0,53.0,81.0,91.0,81.0,71.0,68.0,90,88,76,32,75,72,Meio campo
25,R. Lukaku,88,88,93500000.0,260000.0,28,191,94,4,3,173000000.0,84.0,87.0,74.0,78.0,39.0,83.0,75,86,89,76,71,95,Atacante
26,K. Navas,88,88,15500000.0,130000.0,34,185,80,3,1,28700000.0,,,,,,,68,67,16,74,39,75,Goleiro
29,E. Haaland,88,93,137500000.0,110000.0,20,194,94,3,3,244100000.0,89.0,91.0,65.0,80.0,45.0,88.0,71,84,89,74,82,93,Atacante
30,S. Agüero,87,87,51000000.0,260000.0,33,173,70,4,4,104600000.0,71.0,89.0,75.0,87.0,33.0,69.0,80,91,91,78,62,74,Atacante
31,H. Lloris,87,87,13500000.0,125000.0,34,188,82,1,1,25700000.0,,,,,,,50,65,10,74,41,43,Goleiro
32,L. Modrić,87,87,32000000.0,190000.0,35,172,66,4,4,65600000.0,73.0,76.0,89.0,88.0,72.0,66.0,90,92,78,67,83,58,Meio campo
34,W. Szczęsny,87,87,42000000.0,105000.0,31,195,90,3,1,69300000.0,,,,,,,48,65,14,71,45,65,Goleiro
36,C. Immobile,87,87,67500000.0,125000.0,31,185,85,4,3,114800000.0,86.0,87.0,67.0,81.0,39.0,77.0,71,79,91,82,78,76,Atacante
37,P. Pogba,87,87,79500000.0,220000.0,28,191,84,4,5,147100000.0,71.0,81.0,86.0,86.0,65.0,83.0,89,88,80,82,77,89,Meio campo
38,M. Verratti,87,87,79500000.0,155000.0,28,165,60,4,4,147100000.0,64.0,61.0,87.0,91.0,79.0,67.0,89,94,78,67,76,54,Meio campo
39,Marquinhos,87,90,90500000.0,135000.0,27,183,75,3,3,174200000.0,81.0,53.0,75.0,74.0,89.0,81.0,74,86,68,92,83,78,Zagueiro
40,L. Goretzka,87,88,93000000.0,140000.0,26,189,82,4,3,160400000.0,81.0,82.0,82.0,84.0,81.0,86.0,84,82,85,79,88,88,Meio campo
42,A. Robertson,87,88,83500000.0,175000.0,27,178,64,2,3,160700000.0,84.0,61.0,81.0,81.0,82.0,76.0,80,83,77,62,95,65,Zagueiro
43,F. de Jong,87,92,119500000.0,210000.0,24,180,74,3,4,253900000.0,81.0,69.0,85.0,88.0,77.0,78.0,86,90,77,76,90,74,Meio campo
44,T. Alexander-Arnold,87,92,114000000.0,150000.0,22,180,69,4,3,219500000.0,79.0,68.0,88.0,80.0,80.0,72.0,87,81,77,66,88,63,Zagueiro
46,Rúben Dias,87,91,102500000.0,170000.0,24,187,82,4,2,197300000.0,61.0,38.0,65.0,68.0,88.0,88.0,51,81,39,78,88,88,Zagueiro
47,G. Chiellini,86,86,12000000.0,88000.0,36,187,85,3,2,19800000.0,68.0,46.0,60.0,59.0,89.0,85.0,50,83,28,91,71,91,Zagueiro
48,S. Handanovič,86,86,7500000.0,78000.0,36,193,92,3,1,12800000.0,,,,,,,41,69,12,78,41,69,Goleiro
49,M. Hummels,86,86,44000000.0,95000.0,32,191,96,3,3,74800000.0,56.0,59.0,77.0,73.0,89.0,77.0,80,89,57,70,66,86,Zagueiro
50,Jordi Alba,86,86,47000000.0,200000.0,32,170,68,3,3,96400000.0,86.0,69.0,81.0,83.0,77.0,71.0,78,80,83,80,87,61,Zagueiro
51,Thiago,86,86,65000000.0,180000.0,30,174,70,3,5,120300000.0,63.0,72.0,86.0,90.0,70.0,66.0,85,88,75,80,74,59,Meio campo
53,Parejo,86,86,53500000.0,64000.0,32,182,74,4,3,112400000.0,50.0,83.0,90.0,81.0,71.0,69.0,89,85,82,49,78,70,Meio campo
54,K. Casteels,86,87,52000000.0,88000.0,29,197,86,2,1,92300000.0,,,,,,,42,40,15,58,44,72,Goleiro
56,K. Koulibaly,86,86,55500000.0,105000.0,30,187,89,3,2,94400000.0,81.0,28.0,51.0,65.0,87.0,85.0,52,82,35,82,70,94,Zagueiro
57,R. Varane,86,88,68500000.0,180000.0,28,191,81,3,2,131900000.0,82.0,49.0,64.0,65.0,87.0,82.0,59,83,55,81,76,86,Zagueiro
59,Gerard Moreno,86,86,68000000.0,73000.0,29,180,77,4,3,142800000.0,79.0,86.0,77.0,84.0,46.0,73.0,78,78,87,76,79,75,Atacante
60,J. Vardy,86,86,33000000.0,180000.0,34,179,74,4,3,62700000.0,85.0,84.0,70.0,80.0,52.0,73.0,76,88,92,80,76,66,Atacante
62,João Cancelo,86,87,71500000.0,185000.0,27,182,74,4,4,137600000.0,85.0,71.0,83.0,84.0,80.0,72.0,83,85,80,72,90,62,Zagueiro
63,A. Laporte,86,89,77000000.0,185000.0,27,191,85,3,2,148200000.0,63.0,50.0,72.0,69.0,86.0,80.0,65,84,54,80,72,84,Zagueiro
66,Marcos Llorente,86,89,88000000.0,95000.0,26,184,74,4,3,187000000.0,88.0,80.0,81.0,82.0,78.0,82.0,86,83,87,69,90,79,Meio campo
68,M. Škriniar,86,88,74000000.0,150000.0,26,188,80,3,2,131400000.0,80.0,41.0,53.0,69.0,87.0,84.0,46,87,30,84,79,86,Zagueiro
70,K. Schmeichel,85,85,9000000.0,115000.0,34,189,89,3,1,17100000.0,,,,,,,59,67,13,60,34,64,Goleiro
